Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,READ,250,Total,,0,446562304,1703,13628,0,0,256,41,,
,READ,500,Total,,0,13631225856,50295,402364,0,0,256,50,,
,READ,750,Total,,1,30310400000,63626,509008,0,0,256,45,,
,READ,1000,Total,,2,45152862208,56619,452956,0,0,256,42,,
,READ,1250,Total,,2,60379758592,58086,464688,0,0,256,46,,
,READ,1500,Total,,3,75772854272,58720,469760,0,0,256,41,,
,READ,1750,Total,,4,92131295232,62402,499220,0,0,256,41,,
,READ,2000,Total,,5,110330511360,69424,555396,0,0,256,37,,
,READ,2250,Total,,5,123480047616,50161,401292,0,0,256,40,,
,READ,2500,Total,,6,140935823360,66588,532708,0,0,256,40,,
,READ,2750,Total,,7,156576120832,59663,477304,0,0,256,37,,
,READ,3000,Total,,7,174360494080,67842,542736,0,0,256,36,,
,READ,3250,Total,,8,189533388800,57880,463040,0,0,256,35,,
,READ,3500,Total,,9,203898486784,54798,438388,0,0,256,32,,
,READ,3750,Total,,9,217225494528,50838,406708,0,0,256,38,,
,READ,4000,Total,,10,232182644736,57057,456456,0,0,256,37,,
,READ,4250,Total,,11,246063300608,52950,423604,0,0,256,32,,
,READ,4500,Total,,11,260569563136,55337,442696,0,0,256,35,,
,READ,4750,Total,,12,276629291008,61263,490104,0,0,256,31,,
,READ,5000,Total,,13,293897633792,65873,526988,0,0,256,31,,
,READ,5250,Total,,14,311752392704,68110,544884,0,0,256,29,,
,READ,5500,Total,,14,325700550656,53208,425664,0,0,256,28,,
,READ,5750,Total,,15,338609176576,49242,393940,0,0,256,27,,
,READ,6000,Total,,15,351539167232,49324,394592,0,0,256,27,,
,READ,6250,Total,,16,364436652032,49200,393600,0,0,256,27,,
,READ,6500,Total,,17,377333743616,49198,393588,0,0,256,28,,
,READ,6750,Total,,17,390248923136,49267,394140,0,0,256,27,,
,READ,7000,Total,,18,402922668032,48346,386772,0,0,256,25,,
,READ,7250,Total,,18,414699225088,44924,359392,0,0,256,26,,
,READ,7500,Total,,19,427513872384,48884,391072,0,0,256,28,,
,READ,7750,Total,,20,441084936192,51769,414156,0,0,256,29,,
