Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,250,Total,,0,19766968320,75405,603240,0,0,256,38,,
,WRITE,500,Total,,2,47124185088,104359,834876,0,0,256,52,,
,WRITE,750,Total,,3,74494902272,104411,835288,0,0,256,52,,
,WRITE,1000,Total,,4,101800083456,104161,833288,0,0,256,52,,
,WRITE,1250,Total,,5,129322844160,104991,839928,0,0,256,52,,
,WRITE,1500,Total,,7,156783083520,104752,838020,0,0,256,52,,
,WRITE,1750,Total,,8,184329043968,105079,840636,0,0,256,52,,
,WRITE,2000,Total,,9,211804356608,104810,838480,0,0,256,52,,
,WRITE,2250,Total,,10,239127625728,104230,833840,0,0,256,51,,
,WRITE,2500,Total,,12,265918349312,102198,817588,0,0,256,44,,
,WRITE,2750,Total,,13,292126588928,99976,799812,0,0,256,44,,
,WRITE,3000,Total,,14,318371790848,100117,800940,0,0,256,46,,
,WRITE,3250,Total,,15,345102221312,101968,815748,0,0,256,51,,
,WRITE,3500,Total,,16,372037124096,102748,821988,0,0,256,51,,
,WRITE,3750,Total,,18,399260385280,103848,830788,0,0,256,51,,
,WRITE,4000,Total,,19,426529652736,104024,832192,0,0,256,52,,
,WRITE,4250,Total,,20,453909544960,104446,835568,0,0,256,52,,
,WRITE,4500,Total,,21,481210007552,104143,833144,0,0,256,52,,
,WRITE,4750,Total,,23,508660940800,104717,837736,0,0,256,52,,
,WRITE,5000,Total,,24,535547871232,102565,820524,0,0,256,52,,
,WRITE,5250,Total,,24,545781841920,39039,312316,0,0,256,53,,
,WRITE,5500,Total,,25,555476844544,36983,295868,0,0,256,53,,
,WRITE,5750,Total,,25,556860178432,5277,42216,0,0,256,53,,
,WRITE,6000,Total,,27,594944196608,145279,1162232,0,0,256,51,,
,WRITE,6250,Total,,27,606922080256,45692,365536,0,0,256,51,,
,WRITE,6500,Total,,28,626356125696,74135,593080,0,0,256,52,,
,WRITE,6750,Total,,29,641118502912,56314,450512,0,0,256,52,,
,WRITE,7000,Total,,30,660518993920,74007,592056,0,0,256,52,,
,WRITE,7250,Total,,30,673083949056,47931,383452,0,0,256,51,,
,WRITE,7500,Total,,30,678941556736,22345,178760,0,0,256,51,,
,WRITE,7750,Total,,31,691294306304,47122,376976,0,0,256,26,,
,WRITE,8000,Total,,32,705686405120,54901,439212,0,0,256,39,,
,WRITE,8250,Total,,32,720977133568,58329,466636,0,0,256,25,,
,WRITE,8500,Total,,33,734322622464,50909,407272,0,0,256,51,,
,WRITE,8750,Total,,34,748478267392,53999,431996,0,0,256,52,,
,WRITE,9000,Total,,34,759687413760,42759,342076,0,0,256,53,,
,WRITE,9250,Total,,35,779667505152,76218,609744,0,0,256,53,,
,WRITE,9500,Total,,36,794685079552,57287,458300,0,0,256,52,,
,WRITE,9750,Total,,37,816392830976,82808,662468,0,0,256,53,,
,WRITE,10000,Total,,37,831267405824,56742,453936,0,0,256,52,,
,WRITE,10250,Total,,38,846395867136,57710,461684,0,0,256,52,,
,WRITE,10500,Total,,39,865408778240,72528,580228,0,0,256,39,,
,WRITE,10750,Total,,40,881632870400,61890,495120,0,0,256,52,,
,WRITE,11000,Total,,40,897218772992,59455,475644,0,0,256,51,,
,WRITE,11250,Total,,41,912892493824,59790,478324,0,0,256,38,,
,WRITE,11500,Total,,42,925047324672,46367,370936,0,0,256,52,,
,WRITE,11750,Total,,42,937931046912,49147,393180,0,0,256,51,,
,WRITE,12000,Total,,43,949567225856,44388,355108,0,0,256,51,,
,WRITE,12250,Total,,43,966780518400,65663,525308,0,0,256,52,,
,WRITE,12500,Total,,44,982354493440,59410,475280,0,0,256,51,,
,WRITE,12750,Total,,45,996450631680,53772,430180,0,0,256,52,,
,WRITE,13000,Total,,46,1012044136448,59484,475876,0,0,256,52,,
,WRITE,13250,Total,,46,1026550267904,55336,442692,0,0,256,52,,
,WRITE,13500,Total,,47,1043840630784,65957,527660,0,0,256,52,,
,WRITE,13750,Total,,48,1063217397760,73916,591332,0,0,256,52,,
,WRITE,14000,Total,,49,1080232247296,64906,519252,0,0,256,51,,
,WRITE,14250,Total,,49,1097706504192,66659,533272,0,0,256,38,,
,WRITE,14500,Total,,50,1119488966656,83093,664748,0,0,256,52,,
,WRITE,14750,Total,,51,1133257293824,52522,420176,0,0,256,51,,
,WRITE,15000,Total,,52,1152774045696,74450,595604,0,0,256,51,,
,WRITE,15250,Total,,53,1166955773952,54099,432792,0,0,256,51,,
,WRITE,15500,Total,,53,1179175092224,46613,372904,0,0,256,51,,
,WRITE,15750,Total,,54,1194371317760,57969,463752,0,0,256,39,,
,WRITE,16000,Total,,54,1203290374144,34023,272188,0,0,256,50,,
,WRITE,16250,Total,,55,1222524403712,73372,586976,0,0,256,34,,
,WRITE,16500,Total,,56,1237870182400,58539,468316,0,0,256,50,,
,WRITE,16750,Total,,57,1255734509568,68147,545176,0,0,256,51,,
,WRITE,17000,Total,,57,1270025682944,54516,436132,0,0,256,51,,
,WRITE,17250,Total,,58,1286265896960,61951,495612,0,0,256,52,,
,WRITE,17500,Total,,59,1304378605568,69094,552756,0,0,256,51,,
,WRITE,17750,Total,,60,1321845915648,66632,533060,0,0,256,52,,
,WRITE,18000,Total,,61,1341407232000,74620,596964,0,0,256,51,,
,WRITE,18250,Total,,61,1357742997504,62316,498528,0,0,256,52,,
,WRITE,18500,Total,,62,1373498114048,60101,480808,0,0,256,52,,
,WRITE,18750,Total,,63,1387097620480,51878,415024,0,0,256,52,,
,WRITE,19000,Total,,63,1397998747648,41584,332676,0,0,256,51,,
,WRITE,19250,Total,,64,1418367074304,77699,621592,0,0,256,52,,
,WRITE,19500,Total,,65,1430697279488,47036,376288,0,0,256,60,,
,WRITE,19750,Total,,65,1446244384768,59307,474460,0,0,256,52,,
,WRITE,20000,Total,,66,1461661859840,58813,470504,0,0,256,52,,
,WRITE,20250,Total,,67,1480716058624,72686,581488,0,0,256,51,,
,WRITE,20500,Total,,68,1498468712448,67721,541768,0,0,256,50,,
,WRITE,20750,Total,,68,1514720067584,61994,495952,0,0,256,51,,
,WRITE,21000,Total,,69,1525982953472,42964,343716,0,0,256,51,,
,WRITE,21250,Total,,70,1548705202176,86678,693428,0,0,256,51,,
,WRITE,21500,Total,,71,1562708148224,53417,427336,0,0,256,51,,
,WRITE,21750,Total,,71,1580054609920,66171,529372,0,0,256,38,,
,WRITE,22000,Total,,72,1596082356224,61141,489128,0,0,256,51,,
,WRITE,22250,Total,,73,1608656879616,47968,383744,0,0,256,51,,
,WRITE,22500,Total,,74,1627498741760,71876,575008,0,0,256,50,,
,WRITE,22750,Total,,74,1645413400576,68339,546712,0,0,256,51,,
,WRITE,23000,Total,,75,1661207576576,60250,482000,0,0,256,52,,
,WRITE,23250,Total,,76,1674749673472,51659,413272,0,0,256,51,,
,WRITE,23500,Total,,76,1689112936448,54791,438332,0,0,256,52,,
,WRITE,23750,Total,,77,1708166742016,72684,581476,0,0,256,47,,
,WRITE,24000,Total,,78,1723901411328,60023,480184,0,0,256,52,,
,WRITE,24250,Total,,79,1737430794240,51610,412884,0,0,256,51,,
,WRITE,24500,Total,,79,1756634021888,73254,586036,1,4,255,50,,
,WRITE,24750,Total,,80,1773381877760,63888,511104,1,0,255,43,,
,WRITE,25000,Total,,81,1789261643776,60576,484612,2,4,254,44,,
,WRITE,25250,Total,,82,1804546342912,58306,466452,2,0,254,45,,
,WRITE,25500,Total,,82,1819589345280,57384,459076,4,8,252,43,,
,WRITE,25750,Total,,83,1835957616640,62440,499520,10,24,246,46,,
,WRITE,26000,Total,,84,1850344210432,54880,439044,11,4,245,44,,
,WRITE,26250,Total,,85,1870054162432,75187,601500,13,8,243,47,,
,WRITE,26500,Total,,85,1883785789440,52382,419056,15,8,241,49,,
,WRITE,26750,Total,,86,1896527167488,48604,388836,16,4,240,50,,
,WRITE,27000,Total,,86,1911176298496,55882,447056,20,16,236,48,,
,WRITE,27250,Total,,87,1927668432896,62912,503300,26,24,230,42,,
,WRITE,27500,Total,,88,1940697120768,49700,397604,29,12,227,46,,
,WRITE,27750,Total,,88,1956884643840,61750,494004,34,20,222,34,,
,WRITE,28000,Total,,89,1972844232704,60881,487048,43,36,213,43,,
,WRITE,28250,Total,,90,1987677126656,56583,452664,50,28,206,41,,
,WRITE,28500,Total,,91,2001253564416,51790,414320,56,24,200,42,,
,WRITE,28750,Total,,91,2014753980416,51500,412000,59,12,197,50,,
,WRITE,29000,Total,,92,2029536804864,56392,451136,69,40,187,49,,
,WRITE,29250,Total,,93,2047657902080,69126,553012,74,20,182,48,,
,WRITE,29500,Total,,93,2058278141952,40513,324104,82,32,174,46,,
,WRITE,29750,Total,,94,2077536288768,73464,587712,91,36,165,46,,
,WRITE,30000,Total,,95,2092157894656,55777,446216,101,40,155,45,,
