Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,7,87686119424,16724,4181,0,0,64,50,,
,WRITE,10000,Total,,16,177700077568,17168,4292,0,0,64,52,,
,WRITE,15000,Total,,23,257215692800,15166,3791,0,0,64,50,,
,WRITE,20000,Total,,29,326975356928,13305,3326,0,0,64,52,,
,WRITE,25000,Total,,37,411813543936,16181,4045,0,0,64,52,,
,WRITE,30000,Total,,44,489101983744,14741,3685,0,0,64,51,,
,WRITE,35000,Total,,51,563446022144,14180,3545,0,0,64,53,,
,WRITE,40000,Total,,58,639404867584,14488,3622,0,0,64,51,,
,WRITE,45000,Total,,64,713799237632,14189,3547,0,0,64,30,,
,WRITE,50000,Total,,70,780174098432,12660,3165,6,1,58,22,,
,WRITE,55000,Total,,74,815838265344,6802,1700,16,2,48,49,,
,WRITE,60000,Total,,81,895072862208,15112,3778,16,0,48,49,,
,WRITE,65000,Total,,88,977339940864,15691,3922,16,0,48,51,,
,WRITE,70000,Total,,95,1052300541952,14297,3574,19,0,45,50,,
,SYNC,5000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,10000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,15000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,20000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,25000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,30000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,35000,Total,,0,0,0,0,0,0,1,0,,
,SYNC,40000,Total,,0,0,0,0,0,0,1,0,,
