Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,READ,1000,Total,,0,8989966336,8573,17147,0,0,64,42,,
,READ,1000,0,,0,8989966336,,,0,,64,42,nid002825:1611,
,READ,2000,Total,,1,22462595072,12848,25697,0,0,64,39,,
,READ,2000,0,,1,22462595072,,,0,,64,39,nid002825:1611,
,READ,3000,Total,,1,35891707904,12807,25614,0,0,64,34,,
,READ,3000,0,,1,35891707904,,,0,,64,34,nid002825:1611,
,READ,4000,Total,,2,48675422208,12191,24383,0,0,64,34,,
,READ,4000,0,,2,48675422208,,,0,,64,34,nid002825:1611,
,READ,5000,Total,,2,63199772672,13851,27703,0,0,64,34,,
,READ,5000,0,,2,63199772672,,,0,,64,34,nid002825:1611,
,READ,6000,Total,,3,77250691072,13400,26800,0,0,64,32,,
,READ,6000,0,,3,77250691072,,,0,,64,32,nid002825:1611,
,READ,7000,Total,,4,92615475200,14653,29306,0,0,64,30,,
,READ,7000,0,,4,92615475200,,,0,,64,30,nid002825:1611,
,READ,8000,Total,,4,106465067008,13208,26416,0,0,64,30,,
,READ,8000,0,,4,106465067008,,,0,,64,30,nid002825:1611,
,READ,9000,Total,,5,120155275264,13056,26112,0,0,64,30,,
,READ,9000,0,,5,120155275264,,,0,,64,30,nid002825:1611,
,READ,10000,Total,,6,134975848448,14134,28268,0,0,64,37,,
,READ,10000,0,,6,134975848448,,,0,,64,37,nid002825:1611,
,READ,11000,Total,,6,145850630144,10371,20742,0,0,64,35,,
,READ,11000,0,,6,145850630144,,,0,,64,35,nid002825:1611,
,READ,12000,Total,,7,158176116736,11754,23509,0,0,64,38,,
,READ,12000,0,,7,158176116736,,,0,,64,38,nid002825:1611,
,READ,13000,Total,,7,169540059136,10837,21675,0,0,64,34,,
,READ,13000,0,,7,169540059136,,,0,,64,34,nid002825:1611,
,READ,14000,Total,,8,180846854144,10783,21566,0,0,64,33,,
,READ,14000,0,,8,180846854144,,,0,,64,33,nid002825:1611,
,READ,15000,Total,,8,191836454912,10480,20961,0,0,64,31,,
,READ,15000,0,,8,191836454912,,,0,,64,31,nid002825:1611,
,READ,16000,Total,,9,203720491008,11333,22667,0,0,64,35,,
,READ,16000,0,,9,203720491008,,,0,,64,35,nid002825:1611,
,READ,17000,Total,,9,214942351360,10702,21404,0,0,64,33,,
,READ,17000,0,,9,214942351360,,,0,,64,33,nid002825:1611,
,READ,18000,Total,,10,225722761216,10281,20562,0,0,64,31,,
,READ,18000,0,,10,225722761216,,,0,,64,31,nid002825:1611,
,READ,19000,Total,,10,237209387008,10954,21909,0,0,64,28,,
,READ,19000,0,,10,237209387008,,,0,,64,28,nid002825:1611,
,READ,20000,Total,,11,249266438144,11498,22997,0,0,64,29,,
,READ,20000,0,,11,249266438144,,,0,,64,29,nid002825:1611,
,READ,21000,Total,,11,261801639936,11954,23909,0,0,64,32,,
,READ,21000,0,,11,261801639936,,,0,,64,32,nid002825:1611,
,READ,22000,Total,,12,273112629248,10787,21574,0,0,64,28,,
,READ,22000,0,,12,273112629248,,,0,,64,28,nid002825:1611,
,READ,23000,Total,,12,284244312064,10616,21232,0,0,64,33,,
,READ,23000,0,,12,284244312064,,,0,,64,33,nid002825:1611,
,READ,24000,Total,,13,294865862656,10129,20259,0,0,64,28,,
,READ,24000,0,,13,294865862656,,,0,,64,28,nid002825:1611,
,READ,25000,Total,,13,306609389568,11199,22399,0,0,64,35,,
,READ,25000,0,,13,306609389568,,,0,,64,35,nid002825:1611,
,READ,26000,Total,,14,317402382336,10293,20586,0,0,64,38,,
,READ,26000,0,,14,317402382336,,,0,,64,38,nid002825:1611,
,READ,27000,Total,,14,328305999872,10398,20797,0,0,64,27,,
,READ,27000,0,,14,328305999872,,,0,,64,27,nid002825:1611,
,READ,28000,Total,,15,338950619136,10151,20303,0,0,64,31,,
,READ,28000,0,,15,338950619136,,,0,,64,31,nid002825:1611,
,READ,29000,Total,,15,349113417728,9692,19384,0,0,64,25,,
,READ,29000,0,,15,349113417728,,,0,,64,25,nid002825:1611,
,READ,30000,Total,,16,361980493824,12271,24542,0,0,64,30,,
,READ,30000,0,,16,361980493824,,,0,,64,30,nid002825:1611,
,READ,31000,Total,,16,373040873472,10548,21096,0,0,64,31,,
,READ,31000,0,,16,373040873472,,,0,,64,31,nid002825:1611,
,READ,32000,Total,,17,384083427328,10531,21062,0,0,64,31,,
,READ,32000,0,,17,384083427328,,,0,,64,31,nid002825:1611,
,READ,33000,Total,,18,397314883584,12618,25237,0,0,64,36,,
,READ,33000,0,,18,397314883584,,,0,,64,36,nid002825:1611,
,READ,34000,Total,,18,408572395520,10736,21472,0,0,64,35,,
,READ,34000,0,,18,408572395520,,,0,,64,35,nid002825:1611,
,READ,35000,Total,,19,420079992832,10974,21949,0,0,64,37,,
,READ,35000,0,,19,420079992832,,,0,,64,37,nid002825:1611,
,READ,36000,Total,,19,430697349120,10125,20251,0,0,64,43,,
,READ,36000,0,,19,430697349120,,,0,,64,43,nid002825:1611,
,READ,37000,Total,,20,440885313536,9716,19432,0,0,64,39,,
,READ,37000,0,,20,440885313536,,,0,,64,39,nid002825:1611,
,READ,38000,Total,,20,451402006528,10029,20059,0,0,64,30,,
,READ,38000,0,,20,451402006528,,,0,,64,30,nid002825:1611,
,READ,39000,Total,,21,463414493184,11456,22912,0,0,64,28,,
,READ,39000,0,,21,463414493184,,,0,,64,28,nid002825:1611,
,READ,40000,Total,,21,474778435584,10837,21675,0,0,64,28,,
,READ,40000,0,,21,474778435584,,,0,,64,28,nid002825:1611,
,READ,41000,Total,,22,484422189056,9197,18394,0,0,64,23,,
,READ,41000,0,,22,484422189056,,,0,,64,23,nid002825:1611,
,READ,42000,Total,,22,495224094720,10301,20603,0,0,64,25,,
,READ,42000,0,,22,495224094720,,,0,,64,25,nid002825:1611,
,READ,43000,Total,,23,506758430720,11000,22000,0,0,64,23,,
,READ,43000,0,,23,506758430720,,,0,,64,23,nid002825:1611,
,READ,44000,Total,,23,516986765312,9754,19509,0,0,64,25,,
,READ,44000,0,,23,516986765312,,,0,,64,25,nid002825:1611,
,READ,45000,Total,,23,527028977664,9577,19154,0,0,64,24,,
,READ,45000,0,,23,527028977664,,,0,,64,24,nid002825:1611,
,READ,46000,Total,,24,538408124416,10852,21704,0,0,64,26,,
,READ,46000,0,,24,538408124416,,,0,,64,26,nid002825:1611,
,READ,47000,Total,,25,549767348224,10833,21666,0,0,64,29,,
,READ,47000,0,,25,549767348224,,,0,,64,29,nid002825:1611,
,READ,48000,Total,,25,562157322240,11816,23632,0,0,64,35,,
,READ,48000,0,,25,562157322240,,,0,,64,35,nid002825:1611,
,READ,49000,Total,,26,573240770560,10570,21140,0,0,64,34,,
,READ,49000,0,,26,573240770560,,,0,,64,34,nid002825:1611,
,READ,50000,Total,,26,584400240640,10642,21285,0,0,64,37,,
,READ,50000,0,,26,584400240640,,,0,,64,37,nid002825:1611,
,READ,51000,Total,,27,595549224960,10632,21265,0,0,64,36,,
,READ,51000,0,,27,595549224960,,,0,,64,36,nid002825:1611,
,READ,52000,Total,,27,607172689920,11085,22170,0,0,64,38,,
,READ,52000,0,,27,607172689920,,,0,,64,38,nid002825:1611,
,READ,53000,Total,,28,618438590464,10744,21488,0,0,64,39,,
,READ,53000,0,,28,618438590464,,,0,,64,39,nid002825:1611,
,READ,54000,Total,,28,628815298560,9896,19792,0,0,64,37,,
,READ,54000,0,,28,628815298560,,,0,,64,37,nid002825:1611,
,READ,55000,Total,,29,639143772160,9850,19700,0,0,64,29,,
,READ,55000,0,,29,639143772160,,,0,,64,29,nid002825:1611,
