Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,1000,Total,,3,80284745728,76565,612524,0,0,256,52,,
,WRITE,2000,Total,,8,188720480256,103412,827299,0,0,256,52,,
,WRITE,3000,Total,,12,279996268544,87047,696379,0,0,256,43,,
,WRITE,4000,Total,,14,308294582272,26987,215899,0,0,256,50,,
,WRITE,5000,Total,,15,337726799872,28068,224550,0,0,256,50,,
,WRITE,6000,Total,,16,368006004736,28876,231012,0,0,256,50,,
,WRITE,7000,Total,,18,410723287040,40738,325907,0,0,256,46,,
,WRITE,8000,Total,,21,468806270976,55392,443138,0,0,256,48,,
,WRITE,9000,Total,,24,547313156096,74870,598960,0,0,256,47,,
,WRITE,10000,Total,,28,633578979328,82269,658156,0,0,256,50,,
,WRITE,11000,Total,,32,710635290624,73486,587893,0,0,256,43,,
,WRITE,12000,Total,,35,787453313024,73259,586075,0,0,256,39,,
,WRITE,13000,Total,,38,846116945920,55946,447568,0,0,256,44,,
,WRITE,14000,Total,,40,900005756928,51392,411139,0,0,256,50,,
,WRITE,15000,Total,,43,965212504064,62186,497488,0,0,256,46,,
,WRITE,16000,Total,,47,1038801829888,70180,561442,1,1,255,49,,
,WRITE,17000,Total,,50,1102351302656,60605,484844,1,0,255,52,,
,WRITE,18000,Total,,52,1157948899328,53022,424176,2,1,254,52,,
,WRITE,19000,Total,,55,1227871092736,66683,533464,2,0,254,52,,
,WRITE,20000,Total,,58,1291693326336,60865,486925,2,0,254,50,,
,WRITE,21000,Total,,61,1347530784768,53250,426006,2,0,254,52,,
,WRITE,22000,Total,,63,1406036475904,55795,446363,2,0,254,51,,
,WRITE,23000,Total,,66,1473253867520,64103,512828,2,0,254,50,,
,WRITE,24000,Total,,70,1541046272000,64651,517215,2,0,254,44,,
,WRITE,25000,Total,,72,1598585831424,54874,438992,5,3,251,50,,
,WRITE,26000,Total,,75,1663697027072,62094,496759,8,3,248,51,,
,WRITE,27000,Total,,78,1723362181120,56901,455209,11,3,245,51,,
,WRITE,28000,Total,,81,1787294384128,60970,487764,20,9,236,50,,
,WRITE,29000,Total,,84,1854978916352,64549,516392,28,8,228,51,,
,WRITE,30000,Total,,87,1917522411520,59646,477169,52,24,204,44,,
,WRITE,31000,Total,,89,1974475948032,54315,434521,79,27,177,47,,
,WRITE,32000,Total,,92,2028889571328,51892,415143,130,51,126,39,,
,WRITE,33000,Total,,94,2078992367616,47781,382254,169,39,87,33,,
,WRITE,34000,Total,,96,2124131729408,43048,344386,215,46,41,19,,
,WRITE,35000,Total,,97,2148503126016,23242,185939,241,26,15,10,,
,WRITE,36000,Total,,98,2162460327936,13310,106485,245,4,11,9,,
,WRITE,37000,Total,,98,2173529882624,10556,84454,248,3,8,6,,
,WRITE,38000,Total,,99,2181386469376,7492,59941,251,3,5,4,,
,WRITE,39000,Total,,99,2185480372224,3904,31234,252,1,4,3,,
,WRITE,40000,Total,,99,2189447004160,3782,30263,253,1,3,1,,
,WRITE,41000,Total,,99,2193488740352,3854,30836,255,2,1,0,,
,WRITE,42000,Total,,99,2195320864768,1747,13978,255,0,1,0,,
,WRITE,43000,Total,,99,2197156921344,1751,14008,255,0,1,0,,
,WRITE,44000,Total,,99,2198961258496,1720,13766,255,0,1,0,,
